aaag,ysag,cobi,aaa,ysa,Rate,UUI,LUI,Sex
11-19,11-20,100+,14,14,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,15,14,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,16,14,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,17,14,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,18,14,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,19,14,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,11,15,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,12,15,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,13,15,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,14,15,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,15,15,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,16,15,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,17,15,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,18,15,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,19,15,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,11,16,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,12,16,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,13,16,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,14,16,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,15,16,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,16,16,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,17,16,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,18,16,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,19,16,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,11,17,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,12,17,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,13,17,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,14,17,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,15,17,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,16,17,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,17,17,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,18,17,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,19,17,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,11,18,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,12,18,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,13,18,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,14,18,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,15,18,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,16,18,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,17,18,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,18,18,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,19,18,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,11,19,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,12,19,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,13,19,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,14,19,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,15,19,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,16,19,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,17,19,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,18,19,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,19,19,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,11,20,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,12,20,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,13,20,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,14,20,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,15,20,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,16,20,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,17,20,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,18,20,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,100+,19,20,0.001202352,0.002057256,0.000674913,Both
11-19,11-20,<100,11,11,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,12,11,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,13,11,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,14,11,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,15,11,0.001286465,0.003240468,0.000422842,Both
