prevalence_scenario,screeningStrategy,screen_count_requested,outcome,old_value,locked_run_value,source_file,absolute_difference,relative_difference,comparison_abs_tolerance,difference_class,pass_fail
base_default_LTBI,ltbi,100,nFalsePositiveTreated_median,1.0,1.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,nIGRApos_median,31.0,31.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,nPreventedActiveTB_median,6.0,6.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,nScreenedBCG_median,68.0,68.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,nScreened_high95,100.0,100.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,nScreened_low95,100.0,100.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,nScreened_median,100.0,100.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,nTestPositiveNonActive_median,31.0,31.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,nTestPositive_median,37.0,37.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,nTotalCoursesCompleted_median,21.0,21.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,nTotalCoursesStarted_median,26.0,26.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,nTruePositiveTests_median,30.0,30.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,nTruePositiveTreated_median,25.0,25.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,relativeReduction20y_median,0.1666666666666666,0.1666666666666666,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,100,screenCoverage,0.0666666666666666,0.0666666666666666,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,NNS_prevent_one_active_TB,18.75,18.75,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,NNT_completed_prevent_one_active_TB,3.5,3.5,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,NNT_started_prevent_one_active_TB,4.375,4.375,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
